category,name_en,description_en,name_vi,price_vnd,vegetarian,notes
APPETIZERS,CAESAR SALAD WITH SMOKED CHICKEN,"Poached egg, crispy bacon, romaine lettuce, croutons",Salad Caesar với gà xông khói,340000,,
APPETIZERS,BEEF AND BANANA BLOSSOM SALAD,"Sliced beef with banana blossom, Vietnamese herbs and seafood dressing",Gói bò với hoa chuối,260000,,
APPETIZERS,DON CIPRIANI'S CAPRESE,Buffalo Mozzarella with confit of tomatoes basil and extra virgin olive oil,Phô mai Mozzarella ăn kèm với cà chua lá húng quế tươi và dầu olive nguyên chất hào hạng,440000,V,
APPETIZERS,PARMIGIANA DI MELANZANE,"Layered eggplant with tomato sauce, Parmesan cheese, Mozzarella and basil",Mỳ dẹt và cà tím xếp lớp với xốt cà chua nguyên chất phô mai Parmesan phô mai Mozzarella và lá húng quế tươi,250000,V,
SOUP & MAIN COURSES,SWEET AND SOUR FISH BROTH,"Cobia fish, tamarind, pineapple, tomato, okra, bean sprout and chili",Canh chua cá bớp,250000,,
SOUP & MAIN COURSES,PASTA E FAGIOLI,"Beans soup and manicotti pasta with rosemary oil",Súp đậu kiểu Venice và mỳ ống Manicotti với một chút dầu hương thảo thơm,290000,,
SOUP & MAIN COURSES,SIMMERED YOUNG PORK RIBS,"With fish sauce, shallot, garlic and black pepper",Sườn non rim ăn kèm cơm trắng,290000,,
SOUP & MAIN COURSES,PAN FRIED SCOTTISH SALMON,"With gratinated broccoli and potato crisps",Cá hồi áp chảo kiểu Xcot-len,660000,,
SOUP & MAIN COURSES,WOK FRIED CHICKEN WITH CASHEW NUTS,"Onion, baby corn, capsicum in oyster and roasted chilli paste with steamed rice",Thịt gà xào hạt điều,330000,,
SOUP & MAIN COURSES,200G US STRIPLOIN,"Served with red wine sauce and stuffed tomato",Thân bò Mỹ nướng (200g),690000,,
PASTA SANDWICH NOODLES AND RICE,SPAGHETTI ALLA BOLOGNESE,Spaghetti with a classic Bolognese ragout,Mỳ Ý với sốt bò bằm cổ điển,360000,,
PASTA SANDWICH NOODLES AND RICE,FURAMA CLUB SANDWICH,"Smoked chicken, crispy bacon, fried egg, tomato, cucumber and romaine lettuce",Bánh mỳ kẹp kiểu Furama,430000,,
